Unnamed: 0,SubjectID,StimulusType,response,RT
0,110006,1,1,591
1,110006,1,1,527
2,110006,1,1,331
3,110006,0,0,0
4,110006,1,1,363
5,110006,1,1,313
6,110006,1,1,331
7,110006,1,1,331
8,110006,1,1,313
9,110006,1,1,444
10,110006,1,1,378
11,110006,1,1,297
12,110006,1,1,297
13,110006,1,1,314
14,110006,1,1,248
15,110006,1,1,262
16,110006,0,0,0
17,110006,0,0,0
18,110006,0,0,0
19,110006,1,1,430
20,110006,1,1,313
21,110006,1,1,278
22,110006,1,1,281
23,110006,1,1,284
24,110006,1,1,313
25,110006,0,1,249
26,110006,0,0,0
27,110006,1,1,383
28,110006,0,0,0
29,110006,1,1,280
30,110006,0,0,0
31,110006,1,1,281
32,110006,1,1,296
33,110006,0,0,0
34,110006,1,1,279
35,110006,1,1,329
36,110006,1,1,267
37,110006,1,1,265
38,110006,1,1,281
39,110006,1,1,315
40,110006,1,1,282
41,110006,1,1,247
42,110006,1,1,281
43,110006,1,1,249
44,110006,1,1,264
45,110006,1,1,231
46,110006,1,1,332
47,110006,0,0,0
48,110006,1,1,263
49,110006,0,1,281
50,110006,1,1,282
51,110006,1,1,262
52,110006,1,1,328
53,110006,1,1,298
54,110006,0,0,0
55,110006,0,0,0
56,110006,1,1,296
57,110006,0,0,0
58,110006,1,1,281
59,110006,1,1,296
60,110006,1,1,316
61,110006,1,1,315
62,110006,1,1,314
63,110006,1,1,281
64,110006,1,1,331
65,110006,1,1,366
66,110006,1,1,295
67,110006,0,0,0
68,110006,1,1,365
69,110006,1,1,477
70,110006,1,1,267
71,110006,1,1,246
72,110006,0,1,219
73,110006,1,1,297
74,110006,1,1,281
75,110006,0,0,0
76,110006,1,1,279
77,110006,1,1,317
78,110006,1,1,315
79,110006,1,1,331
80,110006,1,1,281
81,110006,1,1,268
82,110006,1,1,264
83,110006,1,1,282
84,110006,1,1,252
85,110006,1,1,249
86,110006,1,1,263
87,110006,0,0,0
88,110006,1,1,213
89,110006,1,1,346
90,110006,1,1,281
91,110006,1,1,262
92,110006,1,1,284
93,110006,1,1,265
94,110006,1,1,282
95,110006,1,1,281
96,110006,0,0,0
97,110006,1,1,315
98,110006,1,1,265
99,110006,0,0,0
