SubjectID,StimulusType,response,RT
020006,1,1,386
020006,0,0,0
020006,0,0,0
020006,0,0,0
020006,1,1,274
020006,1,1,289
020006,1,1,288
020006,0,0,0
020006,0,0,0
020006,0,0,0
020006,1,1,258
020006,1,1,290
020006,1,1,289
020006,1,1,306
020006,1,1,307
020006,1,1,339
020006,1,1,289
020006,1,1,274
020006,0,0,0
020006,1,1,291
020006,1,1,306
020006,1,1,274
020006,0,0,0
020006,1,1,275
020006,0,0,0
020006,1,1,257
020006,1,1,290
020006,1,1,307
020006,1,1,291
020006,1,1,272
020006,1,1,258
020006,1,1,290
020006,1,1,337
020006,1,1,272
020006,1,1,290
020006,1,1,306
020006,0,0,0
020006,1,1,291
020006,1,1,243
020006,1,1,275
020006,1,1,273
020006,1,1,259
020006,1,1,275
020006,1,1,271
020006,1,1,241
020006,1,1,258
020006,1,1,275
020006,1,1,273
020006,1,1,258
020006,0,0,0
020006,1,1,274
020006,1,1,243
020006,1,1,240
020006,1,1,274
020006,1,1,274
020006,0,0,0
020006,1,1,290
020006,1,1,273
020006,0,0,0
020006,1,1,242
020006,1,1,276
020006,1,1,272
020006,1,1,289
020006,1,1,307
020006,1,1,322
020006,0,0,0
020006,0,0,0
020006,0,0,0
020006,1,1,354
020006,1,1,259
020006,1,1,257
020006,1,1,258
020006,1,1,274
020006,1,1,259
020006,1,1,257
020006,1,1,289
020006,1,1,275
020006,1,1,273
020006,1,1,259
020006,0,0,0
020006,1,1,274
020006,1,1,323
020006,1,1,256
020006,1,1,274
020006,1,1,258
020006,1,1,289
020006,1,1,257
020006,1,1,259
020006,0,0,0
020006,1,1,274
020006,1,1,273
020006,1,1,275
020006,1,1,259
020006,0,0,0
020006,1,1,257
020006,1,1,322
020006,1,1,289
020006,1,1,289
020006,1,1,275
020006,0,0,0
