SubjectID,StimulusType,response,RT
060002,0,0,0
060002,1,1,368
060002,1,1,332
060002,1,1,380
060002,1,1,282
060002,1,1,271
060002,1,1,398
060002,1,1,300
060002,1,1,348
060002,1,1,297
060002,0,0,0
060002,1,1,348
060002,1,1,265
060002,1,1,249
060002,0,0,0
060002,1,1,282
060002,1,1,333
060002,0,0,0
060002,0,0,0
060002,0,0,0
060002,1,1,316
060002,1,1,272
060002,1,1,299
060002,1,1,265
060002,0,1,264
060002,1,1,283
060002,1,1,299
060002,1,1,318
060002,0,0,0
060002,1,1,312
060002,0,0,0
060002,1,1,280
060002,1,1,414
060002,1,1,301
060002,1,1,284
060002,1,1,299
060002,1,1,415
060002,0,0,0
060002,1,1,334
060002,1,1,335
060002,1,1,322
060002,1,1,322
060002,1,1,332
060002,1,1,335
060002,1,1,282
060002,1,1,250
060002,1,1,299
060002,1,1,281
060002,1,1,303
060002,0,1,323
060002,1,1,265
060002,1,1,300
060002,0,0,0
060002,0,1,302
060002,1,1,316
060002,1,1,321
060002,1,1,281
060002,1,1,298
060002,1,1,297
060002,0,0,0
060002,1,1,254
060002,1,1,297
060002,0,0,0
060002,1,1,284
060002,1,1,286
060002,1,1,250
060002,1,1,284
060002,0,0,0
060002,1,1,251
060002,1,1,264
060002,1,1,269
060002,0,0,0
060002,1,1,270
060002,1,1,255
060002,1,1,286
060002,1,1,238
060002,1,1,269
060002,1,1,267
060002,1,1,250
060002,1,1,270
060002,1,1,334
060002,1,1,267
060002,1,1,284
060002,1,1,264
060002,1,1,281
060002,0,1,300
060002,1,1,264
060002,1,1,298
060002,1,1,287
060002,1,1,268
060002,1,1,250
060002,1,1,284
060002,1,1,281
060002,1,1,300
060002,1,1,322
060002,0,0,0
060002,0,0,0
060002,1,1,318
060002,1,1,317
060002,1,1,269
