Unnamed: 0,SubjectID,StimulusType,response,RT
0,110003,0,0,0
1,110003,1,1,438
2,110003,0,0,0
3,110003,1,1,440
4,110003,1,0,0
5,110003,1,1,687
6,110003,1,1,599
7,110003,1,1,651
8,110003,1,1,350
9,110003,0,0,0
10,110003,1,1,473
11,110003,1,1,401
12,110003,1,1,469
13,110003,1,1,502
14,110003,1,1,461
15,110003,0,0,0
16,110003,0,0,0
17,110003,1,1,418
18,110003,1,1,531
19,110003,1,1,694
20,110003,1,1,534
21,110003,1,1,514
22,110003,1,1,352
23,110003,1,1,336
24,110003,0,0,0
25,110003,1,1,419
26,110003,1,1,434
27,110003,1,1,438
28,110003,1,1,367
29,110003,1,1,420
30,110003,1,1,501
31,110003,1,1,418
32,110003,1,1,323
33,110003,1,1,339
34,110003,1,1,436
35,110003,1,1,487
36,110003,1,1,466
37,110003,0,0,0
38,110003,1,1,543
39,110003,1,0,0
40,110003,1,1,474
41,110003,1,1,502
42,110003,1,1,386
43,110003,1,1,400
44,110003,1,1,366
45,110003,1,1,400
46,110003,1,1,334
47,110003,1,1,286
48,110003,1,1,323
49,110003,1,1,288
50,110003,1,1,301
51,110003,0,0,0
52,110003,0,0,0
53,110003,1,1,438
54,110003,1,1,383
55,110003,0,0,0
56,110003,1,1,337
57,110003,1,1,385
58,110003,1,1,285
59,110003,1,1,287
60,110003,1,1,271
61,110003,1,1,231
62,110003,0,1,277
63,110003,1,1,415
64,110003,1,1,430
65,110003,1,1,286
66,110003,1,1,254
67,110003,1,1,268
68,110003,0,0,0
69,110003,0,0,0
70,110003,0,0,0
71,110003,1,1,481
72,110003,0,0,0
73,110003,1,1,385
74,110003,1,1,382
75,110003,1,1,472
76,110003,1,1,381
77,110003,1,1,253
78,110003,1,1,269
79,110003,1,1,334
80,110003,1,1,68
81,110003,1,1,270
82,110003,1,1,307
83,110003,0,0,0
84,110003,1,1,423
85,110003,0,1,318
86,110003,1,1,371
87,110003,1,0,0
88,110003,1,1,86
89,110003,1,1,502
90,110003,1,1,535
91,110003,1,1,371
92,110003,1,1,331
93,110003,1,1,338
94,110003,0,0,0
95,110003,1,1,371
96,110003,1,1,404
97,110003,0,1,334
98,110003,0,0,0
99,110003,1,1,500
