SubjectID,StimulusType,RT,congruence
10001,0,258.0,0.8
10001,1,282.3544303797468,0.9875
10002,0,293.5,0.9
10002,1,349.4875,1.0
10003,0,269.6,0.75
10003,1,380.5625,1.0
10004,0,372.5,0.9
10004,1,377.65,1.0
10005,0,265.3333333333333,0.85
10005,1,342.3625,1.0
10006,0,256.3333333333333,0.85
10006,1,335.45,1.0
10007,0,392.0,0.95
10007,1,408.7625,1.0
10008,1,367.9873417721519,0.9875
20001,0,370.0,0.95
20001,1,359.1625,1.0
20002,0,350.0,0.9
20002,1,335.8375,1.0
20003,0,425.0,0.9
20003,1,455.0506329113924,0.9875
20004,0,394.0,0.9
20004,1,470.7974683544304,0.9875
20005,0,290.0,0.95
20005,1,370.0125,1.0
20006,1,279.875,1.0
20007,0,223.5,0.7
20007,1,370.425,1.0
20008,0,283.0,0.95
20008,1,348.65,1.0
30001,0,299.6666666666667,0.85
30001,1,350.6125,1.0
30002,0,246.5,0.9
30002,1,344.2125,1.0
30003,1,425.6,1.0
30004,0,358.57142857142856,0.65
30004,1,319.075,1.0
30005,0,289.0,0.95
30005,1,307.1818181818182,0.9625
30006,0,282.5,0.8
30006,1,385.575,1.0
30007,0,336.5,0.9
30007,1,355.475,1.0
30008,0,270.3333333333333,0.85
30008,1,393.175,1.0
40001,0,272.0,0.85
40001,1,337.725,1.0
40002,1,357.2,1.0
40003,1,470.825,1.0
40004,0,255.0,0.95
40004,1,404.9125,1.0
40005,0,237.66666666666666,0.85
40005,1,310.9125,1.0
40006,0,260.6666666666667,0.85
40006,1,309.8625,1.0
50001,1,352.8375,1.0
50002,0,316.6666666666667,0.85
50002,1,357.0,1.0
50003,0,445.0,0.95
50003,1,449.2375,1.0
60001,1,390.3625,1.0
60002,0,297.25,0.8
60002,1,296.4375,1.0
60003,1,386.8125,1.0
60004,1,371.425,1.0
60005,0,207.4,0.75
60005,1,306.0,1.0
60006,0,283.0,0.95
60006,1,288.85,1.0
60007,0,241.0,0.95
60007,1,283.8625,1.0
60008,0,515.5,0.8
60008,1,324.65822784810126,0.9875
60009,1,402.9,1.0
70001,0,181.83333333333334,0.4
70001,1,297.1645569620253,0.9875
70002,0,278.77777777777777,0.55
70002,1,351.16901408450707,0.8875
70003,0,386.0,0.95
70003,1,323.275,1.0
70004,0,523.2857142857143,0.5
70004,1,502.0571428571429,0.813953488372093
70005,0,381.0,0.95
70005,1,483.4935064935065,0.9625
70006,0,299.0,0.9
70006,1,336.55,1.0
70007,0,373.75,0.8
70007,1,466.3150684931507,0.9125
70008,0,420.77777777777777,0.35714285714285715
70008,1,402.3376623376623,0.8953488372093024
90001,0,289.0,0.95
90001,1,328.325,1.0
90002,0,238.0,0.95
90002,1,305.0375,1.0
90003,0,271.0,0.8
90003,1,313.775,1.0
90004,0,249.5,0.9
90004,1,357.725,1.0
90005,0,234.0,0.95
90005,1,307.9375,1.0
90006,0,288.0,0.95
90006,1,402.3205128205128,0.975
90007,0,290.25,0.8
90007,1,325.5125,1.0
90008,1,369.49367088607596,0.9875
90009,0,354.0,0.95
90009,1,362.875,1.0
90010,0,232.33333333333334,0.85
90010,1,350.55,1.0
90011,0,193.0,0.6
90011,1,391.8787878787879,0.4125
90012,0,342.0,0.95
90012,1,427.4375,1.0
90013,1,439.7,1.0
90014,0,50.0,0.95
90014,1,328.1875,1.0
100001,0,241.0,0.9
100001,1,297.0875,1.0
100002,0,220.33333333333334,0.85
100002,1,305.825,1.0
100003,0,274.0,0.85
100003,1,307.2875,1.0
100004,0,308.5,0.9
100004,1,360.775,1.0
100005,0,305.5,0.9
100005,1,343.175,1.0
100006,0,241.66666666666666,0.85
100006,1,341.3,1.0
100007,0,278.5,0.8
100007,1,305.45,1.0
100008,0,295.2,0.75
100008,1,355.6625,1.0
