,SubjectID,StimulusType,response,RT
0,10001,1,1,410
1,10001,0,0,0
2,10001,1,1,355
3,10001,1,1,340
4,10001,1,1,307
5,10001,1,1,288
6,10001,1,1,308
7,10001,1,1,309
8,10001,1,1,307
9,10001,1,1,306
10,10001,0,0,0
11,10001,1,1,306
12,10001,1,1,256
13,10001,0,0,0
14,10001,0,0,0
15,10001,0,0,0
16,10001,1,1,275
17,10001,1,1,293
18,10001,0,0,0
19,10001,1,1,291
20,10001,1,1,293
21,10001,1,1,275
22,10001,1,1,259
23,10001,0,0,0
24,10001,1,1,393
25,10001,1,1,257
26,10001,1,1,242
27,10001,1,1,242
28,10001,1,1,239
29,10001,1,1,223
30,10001,1,1,241
31,10001,1,1,242
32,10001,1,1,240
33,10001,1,1,156
34,10001,1,1,256
35,10001,1,1,223
36,10001,1,1,239
37,10001,1,1,225
38,10001,1,1,224
39,10001,0,1,258
40,10001,1,1,342
41,10001,1,1,273
42,10001,1,1,261
43,10001,1,1,258
44,10001,1,1,260
45,10001,1,1,255
46,10001,1,1,308
47,10001,1,1,258
48,10001,1,1,306
49,10001,1,1,257
50,10001,0,0,0
51,10001,1,1,326
52,10001,1,1,260
53,10001,1,1,243
54,10001,0,0,0
55,10001,1,1,275
56,10001,1,1,290
57,10001,1,1,256
58,10001,1,1,288
59,10001,0,1,294
60,10001,0,0,0
61,10001,1,1,392
62,10001,1,1,240
63,10001,1,1,239
64,10001,1,1,257
65,10001,1,1,259
66,10001,1,1,240
67,10001,0,0,0
68,10001,1,1,240
69,10001,0,1,224
70,10001,1,1,277
71,10001,1,1,257
72,10001,1,1,273
73,10001,1,1,256
74,10001,1,1,344
75,10001,0,0,0
76,10001,1,1,225
77,10001,1,1,239
78,10001,1,1,273
79,10001,0,1,256
80,10001,1,1,256
81,10001,0,0,0
82,10001,1,0,0
83,10001,0,0,0
84,10001,1,1,291
85,10001,1,1,292
86,10001,1,1,260
87,10001,0,0,0
88,10001,1,1,325
89,10001,1,1,291
90,10001,1,1,376
91,10001,1,1,324
92,10001,1,1,475
93,10001,1,1,425
94,10001,1,1,308
95,10001,1,1,309
96,10001,1,1,294
97,10001,1,1,291
98,10001,1,1,242
99,10001,0,0,0
100,10002,1,1,429
101,10002,1,1,294
102,10002,1,1,341
103,10002,1,1,324
104,10002,0,0,0
105,10002,1,1,340
106,10002,1,1,343
107,10002,1,1,326
108,10002,1,1,325
109,10002,0,0,0
110,10002,1,1,257
111,10002,1,1,361
112,10002,1,1,342
113,10002,1,1,310
114,10002,1,1,326
115,10002,1,1,291
116,10002,1,1,360
117,10002,0,0,0
118,10002,1,1,393
119,10002,0,0,0
120,10002,1,1,273
121,10002,1,1,395
122,10002,1,1,310
123,10002,1,1,341
124,10002,1,1,291
125,10002,1,1,324
126,10002,1,1,361
127,10002,1,1,308
128,10002,1,1,308
129,10002,1,1,327
130,10002,1,1,306
131,10002,0,1,311
132,10002,1,1,528
133,10002,1,1,309
134,10002,1,1,290
135,10002,0,0,0
136,10002,1,1,259
137,10002,1,1,409
138,10002,1,1,311
139,10002,1,1,308
140,10002,1,1,445
141,10002,0,0,0
142,10002,1,1,259
143,10002,1,1,310
144,10002,1,1,412
145,10002,1,1,278
146,10002,0,0,0
147,10002,1,1,356
148,10002,1,1,322
149,10002,1,1,345
150,10002,1,1,306
151,10002,1,1,324
152,10002,0,0,0
153,10002,0,0,0
154,10002,1,1,412
155,10002,1,1,426
156,10002,1,1,358
157,10002,1,1,475
158,10002,1,1,242
159,10002,1,1,375
160,10002,0,0,0
161,10002,1,1,274
162,10002,1,1,259
163,10002,1,1,361
164,10002,1,1,291
165,10002,1,1,292
166,10002,0,0,0
167,10002,1,1,327
168,10002,1,1,409
169,10002,0,1,276
170,10002,1,1,393
171,10002,0,0,0
172,10002,0,0,0
173,10002,1,1,393
174,10002,0,0,0
175,10002,1,1,312
176,10002,1,1,462
177,10002,1,1,480
178,10002,1,1,324
179,10002,1,1,379
180,10002,1,1,462
181,10002,0,0,0
182,10002,1,1,397
183,10002,1,1,392
184,10002,1,1,495
185,10002,1,1,340
186,10002,1,1,359
187,10002,1,1,324
188,10002,0,0,0
189,10002,1,1,373
190,10002,1,1,392
191,10002,1,1,359
192,10002,1,1,325
193,10002,1,1,358
194,10002,1,1,326
195,10002,1,1,363
196,10002,1,1,361
197,10002,0,0,0
198,10002,1,1,412
199,10002,0,0,0
200,10003,1,1,475
201,10003,1,1,337
202,10003,0,0,0
