,SubjectID,StimulusType,response,RT
0,30001,1,1,427
1,30001,1,1,289
2,30001,1,1,267
3,30001,1,1,408
4,30001,1,1,388
5,30001,1,1,369
6,30001,0,0,0
7,30001,0,0,0
8,30001,1,1,420
9,30001,1,1,389
10,30001,1,1,358
11,30001,1,1,304
12,30001,0,0,0
13,30001,1,1,267
14,30001,1,1,238
15,30001,0,1,288
16,30001,1,1,366
17,30001,1,1,389
18,30001,0,0,0
19,30001,0,0,0
20,30001,1,1,371
21,30001,1,1,322
22,30001,1,1,337
23,30001,0,1,307
24,30001,1,1,370
25,30001,1,1,427
26,30001,0,0,0
27,30001,1,1,288
28,30001,1,1,459
29,30001,1,1,341
30,30001,1,1,424
31,30001,1,1,353
32,30001,1,1,354
33,30001,0,0,0
34,30001,1,1,354
35,30001,1,1,323
36,30001,1,1,287
37,30001,0,1,304
38,30001,1,1,338
39,30001,1,1,308
40,30001,1,1,368
41,30001,1,1,338
42,30001,1,1,359
43,30001,1,1,336
44,30001,1,1,356
45,30001,1,1,374
46,30001,0,0,0
47,30001,1,1,354
48,30001,1,1,337
49,30001,1,1,333
50,30001,1,1,321
51,30001,1,1,377
52,30001,0,0,0
53,30001,1,1,354
54,30001,1,1,341
55,30001,1,1,287
56,30001,1,1,340
57,30001,1,1,355
58,30001,1,1,343
59,30001,1,1,355
60,30001,1,1,405
61,30001,1,1,403
62,30001,0,0,0
63,30001,0,0,0
64,30001,1,1,546
65,30001,1,1,337
66,30001,1,1,337
67,30001,0,0,0
68,30001,1,1,321
69,30001,1,1,357
70,30001,1,1,339
71,30001,1,1,392
72,30001,1,1,396
73,30001,0,0,0
74,30001,1,1,322
75,30001,1,1,290
76,30001,1,1,391
77,30001,1,1,352
78,30001,0,0,0
79,30001,1,1,371
80,30001,1,1,326
81,30001,1,1,356
82,30001,1,1,374
83,30001,0,0,0
84,30001,0,0,0
85,30001,1,1,389
86,30001,1,1,324
87,30001,1,1,341
88,30001,1,1,355
89,30001,1,1,341
90,30001,1,1,324
91,30001,1,1,272
92,30001,1,1,323
93,30001,1,1,340
94,30001,0,0,0
95,30001,1,1,359
96,30001,1,1,318
97,30001,1,1,307
98,30001,1,1,337
99,30001,1,1,341
100,40005,1,1,305
101,40005,1,1,340
102,40005,1,1,322
103,40005,1,1,339
104,40005,1,1,306
105,40005,1,1,323
106,40005,1,1,357
107,40005,1,1,323
108,40005,1,1,323
109,40005,0,0,0
110,40005,1,1,289
111,40005,1,1,306
112,40005,1,1,306
113,40005,1,1,476
114,40005,1,1,255
115,40005,0,0,0
116,40005,1,1,272
117,40005,1,1,288
118,40005,1,1,255
119,40005,1,1,271
120,40005,1,1,323
121,40005,1,1,289
122,40005,1,1,306
123,40005,1,1,255
124,40005,1,1,408
125,40005,1,1,306
126,40005,0,1,271
127,40005,1,1,271
128,40005,0,0,0
129,40005,0,0,0
130,40005,1,1,289
131,40005,1,1,323
132,40005,0,0,0
133,40005,1,1,357
134,40005,0,0,0
135,40005,1,1,272
136,40005,0,0,0
137,40005,1,1,238
138,40005,1,1,305
139,40005,1,1,136
140,40005,1,1,305
141,40005,0,0,0
142,40005,0,0,0
143,40005,0,0,0
144,40005,1,1,306
145,40005,1,1,323
146,40005,1,1,306
147,40005,0,0,0
148,40005,1,1,323
149,40005,1,1,323
150,40005,1,1,306
151,40005,1,1,289
152,40005,0,0,0
153,40005,0,0,0
154,40005,1,1,306
155,40005,1,1,374
156,40005,1,1,289
157,40005,1,1,306
158,40005,1,1,306
159,40005,1,1,323
160,40005,1,1,306
161,40005,1,1,306
162,40005,1,1,288
163,40005,1,1,255
164,40005,1,1,340
165,40005,1,1,289
166,40005,1,1,373
167,40005,1,1,289
168,40005,1,1,306
169,40005,0,0,0
170,40005,1,1,306
171,40005,1,1,306
172,40005,1,1,306
173,40005,1,1,306
174,40005,0,0,0
175,40005,1,1,305
176,40005,0,1,153
177,40005,1,1,340
178,40005,1,1,289
179,40005,1,1,306
180,40005,1,1,323
181,40005,1,1,322
182,40005,1,1,356
183,40005,1,1,339
184,40005,1,1,323
185,40005,1,1,340
186,40005,1,1,340
187,40005,1,1,340
188,40005,0,0,0
189,40005,1,1,306
190,40005,1,1,238
191,40005,0,1,289
192,40005,1,1,306
193,40005,1,1,374
194,40005,0,0,0
195,40005,1,1,323
196,40005,1,1,306
197,40005,1,1,339
198,40005,1,1,323
199,40005,1,1,340
200,90003,1,1,367
201,90003,1,1,298
202,90003,1,1,266
203,90003,1,1,266
204,90003,1,1,249
205,90003,1,1,249
206,90003,1,1,299
207,90003,1,1,299
208,90003,1,1,368
209,90003,1,1,300
210,90003,0,1,398
211,90003,1,1,481
212,90003,0,0,0
213,90003,1,1,349
214,90003,0,0,0
215,90003,1,1,272
216,90003,1,1,267
217,90003,1,1,289
218,90003,1,1,370
219,90003,1,1,354
220,90003,0,0,0
221,90003,1,1,382
222,90003,0,1,184
223,90003,1,1,313
224,90003,1,1,347
225,90003,1,1,315
226,90003,1,1,320
227,90003,1,1,315
228,90003,1,1,297
229,90003,1,1,316
230,90003,1,1,282
231,90003,1,1,282
232,90003,1,1,332
233,90003,1,1,299
234,90003,1,1,284
235,90003,1,1,284
236,90003,1,1,297
237,90003,1,1,281
238,90003,1,1,318
239,90003,1,1,283
240,90003,1,1,250
241,90003,1,1,300
242,90003,0,0,0
243,90003,1,1,283
244,90003,1,1,269
245,90003,1,1,367
246,90003,0,0,0
247,90003,1,1,266
248,90003,1,1,299
249,90003,1,1,267
250,90003,0,0,0
251,90003,0,1,284
252,90003,1,1,336
253,90003,1,1,352
