,SubjectID,StimulusType,response,RT
0,30001,1,1,427
1,30001,1,1,289
2,30001,1,1,267
3,30001,1,1,408
4,30001,1,1,388
5,30001,1,1,369
6,30001,0,0,0
7,30001,0,0,0
8,30001,1,1,420
9,30001,1,1,389
10,30001,1,1,358
11,30001,1,1,304
12,30001,0,0,0
13,30001,1,1,267
14,30001,1,1,238
15,30001,0,1,288
16,30001,1,1,366
17,30001,1,1,389
18,30001,0,0,0
19,30001,0,0,0
20,30001,1,1,371
21,30001,1,1,322
22,30001,1,1,337
23,30001,0,1,307
24,30001,1,1,370
25,30001,1,1,427
26,30001,0,0,0
27,30001,1,1,288
28,30001,1,1,459
29,30001,1,1,341
30,30001,1,1,424
31,30001,1,1,353
32,30001,1,1,354
33,30001,0,0,0
34,30001,1,1,354
35,30001,1,1,323
36,30001,1,1,287
37,30001,0,1,304
38,30001,1,1,338
39,30001,1,1,308
40,30001,1,1,368
41,30001,1,1,338
42,30001,1,1,359
43,30001,1,1,336
44,30001,1,1,356
45,30001,1,1,374
46,30001,0,0,0
47,30001,1,1,354
48,30001,1,1,337
49,30001,1,1,333
50,30001,1,1,321
51,30001,1,1,377
52,30001,0,0,0
53,30001,1,1,354
54,30001,1,1,341
55,30001,1,1,287
56,30001,1,1,340
57,30001,1,1,355
58,30001,1,1,343
59,30001,1,1,355
60,30001,1,1,405
61,30001,1,1,403
62,30001,0,0,0
63,30001,0,0,0
64,30001,1,1,546
65,30001,1,1,337
66,30001,1,1,337
67,30001,0,0,0
68,30001,1,1,321
69,30001,1,1,357
70,30001,1,1,339
71,30001,1,1,392
72,30001,1,1,396
73,30001,0,0,0
74,30001,1,1,322
75,30001,1,1,290
76,30001,1,1,391
77,30001,1,1,352
78,30001,0,0,0
79,30001,1,1,371
80,30001,1,1,326
81,30001,1,1,356
82,30001,1,1,374
83,30001,0,0,0
84,30001,0,0,0
85,30001,1,1,389
86,30001,1,1,324
87,30001,1,1,341
88,30001,1,1,355
89,30001,1,1,341
90,30001,1,1,324
91,30001,1,1,272
92,30001,1,1,323
93,30001,1,1,340
94,30001,0,0,0
95,30001,1,1,359
96,30001,1,1,318
97,30001,1,1,307
98,30001,1,1,337
99,30001,1,1,341
100,30002,1,1,406
101,30002,1,1,269
102,30002,0,0,0
103,30002,1,1,304
104,30002,1,1,407
105,30002,1,1,336
106,30002,1,1,386
107,30002,1,1,358
108,30002,0,0,0
109,30002,1,1,355
110,30002,0,0,0
111,30002,1,1,321
112,30002,1,1,410
113,30002,0,0,0
114,30002,1,1,306
115,30002,1,1,350
116,30002,1,1,375
117,30002,1,1,338
118,30002,1,1,338
119,30002,1,1,339
120,30002,1,1,320
121,30002,1,1,373
122,30002,1,1,336
123,30002,1,1,304
124,30002,1,1,308
125,30002,1,1,352
126,30002,1,1,323
127,30002,0,1,271
128,30002,0,0,0
129,30002,1,1,405
130,30002,1,1,287
131,30002,1,1,322
132,30002,0,0,0
133,30002,1,1,352
134,30002,1,1,319
135,30002,1,1,404
136,30002,1,1,340
137,30002,1,1,320
138,30002,1,1,358
139,30002,1,1,386
140,30002,1,1,412
141,30002,1,1,389
142,30002,1,1,389
143,30002,1,1,414
144,30002,1,1,371
145,30002,1,1,370
146,30002,1,1,375
147,30002,0,0,0
148,30002,1,1,355
149,30002,0,0,0
150,30002,1,1,371
151,30002,1,1,307
152,30002,0,0,0
153,30002,1,1,320
154,30002,1,1,357
155,30002,1,1,321
156,30002,1,1,321
157,30002,1,1,273
158,30002,1,1,337
159,30002,1,1,354
160,30002,1,1,302
161,30002,1,1,358
162,30002,1,1,254
163,30002,1,1,221
164,30002,0,0,0
165,30002,1,1,272
166,30002,0,0,0
167,30002,1,1,355
168,30002,1,1,341
169,30002,1,1,342
170,30002,0,0,0
171,30002,0,0,0
172,30002,0,0,0
173,30002,1,1,574
174,30002,1,1,302
175,30002,1,1,357
176,30002,1,1,322
177,30002,1,1,254
178,30002,0,1,222
179,30002,1,1,356
180,30002,1,1,355
181,30002,1,1,441
182,30002,1,1,272
183,30002,1,1,393
184,30002,1,1,351
185,30002,1,1,359
186,30002,1,1,355
187,30002,1,1,348
188,30002,0,0,0
189,30002,1,1,338
190,30002,1,1,306
191,30002,1,1,338
192,30002,1,1,336
193,30002,1,1,340
194,30002,0,0,0
195,30002,1,1,340
196,30002,1,1,321
197,30002,1,1,291
198,30002,0,0,0
199,30002,0,0,0
200,30003,1,1,655
201,30003,1,1,494
202,30003,1,1,334
203,30003,1,1,290
204,30003,1,1,271
205,30003,0,0,0
206,30003,1,1,407
207,30003,1,1,420
208,30003,1,1,385
209,30003,1,1,376
210,30003,1,1,409
211,30003,1,1,454
212,30003,1,1,372
213,30003,1,1,358
214,30003,1,1,424
215,30003,1,1,425
216,30003,1,1,491
217,30003,1,1,368
218,30003,1,1,405
219,30003,1,1,403
220,30003,0,0,0
221,30003,0,0,0
222,30003,0,0,0
223,30003,1,1,407
224,30003,0,0,0
225,30003,1,1,424
226,30003,0,0,0
227,30003,1,1,506
228,30003,1,1,557
229,30003,0,0,0
230,30003,0,0,0
231,30003,0,0,0
232,30003,1,1,463
233,30003,1,1,428
234,30003,0,0,0
235,30003,1,1,425
236,30003,1,1,409
237,30003,1,1,389
238,30003,0,0,0
239,30003,1,1,474
240,30003,1,1,461
241,30003,1,1,419
242,30003,1,1,427
243,30003,1,1,443
244,30003,0,0,0
245,30003,1,1,457
246,30003,1,1,374
247,30003,1,1,354
248,30003,1,1,372
249,30003,1,1,405
250,30003,1,1,424
251,30003,1,1,406
252,30003,0,0,0
253,30003,1,1,529
